Rank,Name,website,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2024 (€),Revenue 2021 (€),Employees 2024,Employees 2021,Founding year,linkedin_company_profile
484,ShopForward,shopforward.eu,Netherlands,Advertising & Marketing,188.5,42.4,"11,754,114","4,073,595",22,7,2018,https://www.linkedin.com/company/shopforward/
816,Soldats Films,soldats.paris,France,Advertising & Marketing,89.9,23.8,"7,205,427","3,794,843",8,14,2012,https://fr.linkedin.com/company/soldatsparis
382,Sparteo,corporate.sparteo.com,France,Advertising & Marketing,241.5,50.6,"37,518,621","10,987,363",110,44,2016,https://in.linkedin.com/company/sparteo?trk=ppro_cprof
507,Stampasi,stampasi.it,Italy,Advertising & Marketing,175.1,40.1,"12,256,478","4,454,957",12,11,2017,
392,The Orange Studio,theorangestudio.com,Netherlands,Advertising & Marketing,237.9,50.1,"1,739,525","514,880",26,9,2013,https://www.linkedin.com/company/theorangestudio/
473,Tikato (discoup),discoup.com,Italy,Advertising & Marketing,193,43.1,"8,842,603","3,018,198",39,13,2013,https://www.linkedin.com/company/discoup
272,Vidoser (CreationDose),creationdose.com,Italy,Advertising & Marketing,342.8,64.2,"4,054,644","915,659",54,23,2018,https://www.linkedin.com/company/vidosercommunity/
280,WeDiscover,we-discover.com,UK,Advertising & Marketing,335.8,63.3,"4,378,936","991,591",43,8,2020,https://uk.linkedin.com/company/we-discover
605,Woodrow,woodrowcommunications.com,UK,Advertising & Marketing,138.4,33.6,"4,123,335","1,707,124",31,16,2020,https://uk.linkedin.com/company/woodrowcommunications
387,Words+Pixels,wordsandpixels.co,UK,Advertising & Marketing,240.2,50.4,"3,077,739","892,761",25,10,2020,https://uk.linkedin.com/company/wordsandpixels
703,Zanatta,zanatta.de,Germany,Advertising & Marketing,110.6,28.2,"20,329,367","9,651,512",18,12,2011,https://de.linkedin.com/company/zanatta-media
502,Air Support,airsupport-mro.com,France,Aerospace & Defence,178.7,40.7,"61,478,692","22,057,606",151,96,1992,https://fr.linkedin.com/company/airsupport-mro
39,Anzen Engineering,anzenengineering.com,Spain,Aerospace & Defence,2044.8,177.8,4251768,198232,45,6,2019,https://www.linkedin.com/company/anzen-engineering
159,Bravo Beveiliging,bravobeveiliging.nl,Netherlands,Aerospace & Defence,587.7,90.2,2153007,313087,193,37,2018,https://nl.linkedin.com/company/bravo-beveiliging-b-v
289,Delair,delair.aero,France,Aerospace & Defence,324.9,62,"28,100,258","6,612,989",90,25,2011,https://www.linkedin.com/company/delair-tech/
949,Factem,factem.com,France,Aerospace & Defence,67.5,18.8,"16,924,018","10,102,618",74,55,2011,
135,Orqa FPV,orqafpv.com,Croatia,Aerospace & Defence,710.7,100.9,12225789,1507971,110,35,2018,
196,Rowden,rowdentech.com,UK,Aerospace & Defence,480.3,79.7,23963284,4074607,90,40,2016,https://uk.linkedin.com/company/rowden
216,Sentry Aerospares,sentry.aero,UK,Aerospace & Defence,427.6,74.1,230672827,40103302,59,21,2000,https://uk.linkedin.com/company/sentry-aerospares
279,Theon,theon.com,Cyprus,Aerospace & Defence,337.4,63.5,"352,364,019","80,561,000",684,346,1997,https://www.linkedin.com/company/theon-international
837,Rairies Montrieux,rairies.com,France,"Agriculture, Forestry & Fishing",85.9,23,"19,736,627","10,616,885",133,81,1900,
528,Ninesquared,ninesquared.team,Italy,Apparel & Fashion,167.5,38.8,"2,455,991","918,155",12,3,2017,https://www.linkedin.com/company/ninesquaredvolleyball/
852,Rifo,rifo-lab.com,Italy,Apparel & Fashion,82.8,22.3,"3,385,304","1,852,074",22,11,2018,
